Data;Produto;UnidadesProduzidas
2024-10-29 22:00:00;Produto C;37
2024-02-05 20:00:00;Produto C;91
2024-08-12 14:00:00;Produto B;94
2024-08-04 07:00:00;Produto C;53
2024-08-26 22:00:00;Produto C;30
2024-09-18 01:00:00;Produto B;3
2024-01-20 10:00:00;Produto C;43
2024-07-03 10:00:00;Produto C;7
2024-08-20 10:00:00;Produto C;49
2024-12-12 18:00:00;Produto B;73
2024-03-11 05:00:00;Produto C;41
2024-02-02 01:00:00;Produto A;77
2024-10-16 13:00:00;Produto A;79
2024-04-11 09:00:00;Produto B;54
2024-08-09 07:00:00;Produto A;69
2024-07-29 11:00:00;Produto B;93
2024-09-24 12:00:00;Produto A;99
2024-02-19 08:00:00;Produto A;91
2024-07-08 19:00:00;Produto A;27
2024-05-21 01:00:00;Produto B;8
2024-09-23 12:00:00;Produto B;32
2024-12-27 02:00:00;Produto C;84
2024-04-16 14:00:00;Produto B;64
2024-11-23 01:00:00;Produto A;10
2024-03-26 07:00:00;Produto A;13
2024-04-24 11:00:00;Produto B;63
2024-01-08 21:00:00;Produto B;93
2024-04-23 22:00:00;Produto B;35
2024-05-05 05:00:00;Produto C;61
2024-07-13 02:00:00;Produto A;54
2024-03-20 03:00:00;Produto C;8
2024-11-18 06:00:00;Produto C;29
2024-02-22 19:00:00;Produto A;95
2024-03-04 16:00:00;Produto A;41
2024-05-28 04:00:00;Produto B;30
2024-06-11 02:00:00;Produto B;86
2024-08-12 17:00:00;Produto C;21
2024-12-17 09:00:00;Produto B;76
2024-11-09 01:00:00;Produto B;11
2024-04-18 20:00:00;Produto A;2
2024-10-20 09:00:00;Produto A;50
2024-09-16 19:00:00;Produto B;41
2024-08-16 14:00:00;Produto A;66
2024-10-22 19:00:00;Produto B;98
2024-02-02 07:00:00;Produto A;3
2024-12-08 18:00:00;Produto A;80
2024-05-11 08:00:00;Produto A;51
2024-03-07 01:00:00;Produto A;68
2024-06-13 07:00:00;Produto B;87
2024-11-10 19:00:00;Produto C;84
2024-05-08 01:00:00;Produto A;25
2024-02-12 13:00:00;Produto B;30
2024-06-09 03:00:00;Produto B;82
2024-11-28 21:00:00;Produto A;11
2024-10-13 09:00:00;Produto C;93
2024-08-24 11:00:00;Produto A;17
2024-01-07 17:00:00;Produto B;26
2024-06-28 01:00:00;Produto C;23
2024-02-11 11:00:00;Produto B;56
2024-11-13 21:00:00;Produto A;52
2024-02-12 08:00:00;Produto C;48
2024-11-23 21:00:00;Produto B;20
2024-09-25 07:00:00;Produto B;2
2024-11-24 20:00:00;Produto B;88
2024-10-12 23:00:00;Produto A;31
2024-11-25 20:00:00;Produto C;27
2024-12-21 09:00:00;Produto A;2
2024-02-06 14:00:00;Produto A;78
2024-07-22 15:00:00;Produto A;4
2024-07-21 11:00:00;Produto C;13
2024-09-20 19:00:00;Produto A;35
2024-12-23 03:00:00;Produto A;72
2024-12-27 20:00:00;Produto A;66
2024-10-27 08:00:00;Produto A;6
2024-08-07 20:00:00;Produto B;31
2024-03-26 22:00:00;Produto A;10
2024-01-03 16:00:00;Produto B;21
2024-11-29 14:00:00;Produto A;74
2024-04-17 00:00:00;Produto C;23
